,model,MAE,MSE,RMSE,R2,MAPE
ARIMA,ARIMA,0.006744970338206258,4.549462486328224e-05,0.006744970338206258,,2.6568341091497554
SARIMA,SARIMA,0.004845568946361234,2.3479538413940317e-05,0.004845568946361234,,1.9086626344383624
ExpSmoothing,ExpSmoothing,0.006820915265987715,4.6524885065784256e-05,0.006820915265987715,,2.686748706906215
Prophet,Prophet,0.003095279466998002,9.580754978819436e-06,0.003095279466998002,,1.2192261274581297
