system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
52_0,5284.5,4707.0,1439.0,2192.0,3146.0,3373.0,3531.0,3698.5,3845.0,3824.0,0.1464856,0.2738115,-0.100795135,-0.15767567,0.0999857,0.14996782,257.8929,1083.0,88.65853,4.413363,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,4579.3335,4204.0,1109.5,1659.0,2579.0,2932.0,3115.0,3323.0,3395.3333,3453.0,0.1934607,0.3435336,-0.10641286,-0.14847018,0.13664006,0.20494294,173.34727,785.0,81.80583,9.256404,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,2886.4,2354.3333,665.2222,983.5,1199.7273,1551.8572,1971.8,2132.0,2217.5715,2285.1667,0.5746937,0.38551825,-0.02991351,-0.13104078,0.29785052,0.4467104,19.973051,1516.0,79.211914,15.407115,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,3370.5,3175.5,838.0,1242.5,1913.0,2181.5,2375.0,2506.3333,2601.0,2619.5,0.22065426,0.35345387,-0.099454686,-0.1288621,0.15241471,0.22859675,166.87405,1402.0,99.90785,4.7509484,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,4854.0,4366.0,1210.0,1859.0,2635.0,3015.0,3132.5,3307.3333,3290.0,3381.0,0.16332535,0.27791804,-0.14054337,-0.19204322,0.110548526,0.1658088,19.261948,575.0,76.36144,9.730271,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,3830.0,3556.0,1132.0,1649.0,2186.0,2469.0,2589.0,2718.0,2732.0,2714.0,0.18548715,0.24720384,-0.13104326,-0.16732703,0.111020744,0.16651419,210.14827,289.0,68.40219,2.1441593,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,4300.0,3702.75,1032.0,1539.0,2229.75,2579.0,2769.0,2916.0,3078.0,3129.0,0.24326068,0.33333334,-0.092135824,-0.16562754,0.15981348,0.23969764,44.960724,1084.0,83.12078,9.098155,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,2669.3333,2453.1667,797.5625,1048.9474,1561.8572,1882.4166,2205.1,2336.889,2412.1,2507.25,0.36632457,0.39385554,-0.00844078,-0.050622165,0.21395372,0.3208902,216.50758,1256.0,79.211914,12.491313,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,3129.5,2508.0,726.0,1098.0,1442.6666,1719.0,2067.0,2250.5,2336.0,2388.5,0.4025475,0.36051252,-0.035507843,-0.14518343,0.23641497,0.35457554,310.64954,1608.0,78.13204,13.955097,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,5224.0,5044.0,1780.0,2483.0,3521.0,3879.5,3914.5,4073.5,4083.5,4109.0,0.11856583,0.24373715,-0.10523144,-0.12253559,0.07396936,0.110946745,180.0,313.0,64.16171,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,4477.0,3962.5,1002.0,1594.0,2229.0,2533.5,2726.0,2903.0,2954.0,2990.0,0.20563875,0.29903254,-0.14581074,-0.20495223,0.13988037,0.20980033,197.26404,1025.0,82.21228,14.266392,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,3557.6667,2955.0,830.0,1218.5,1693.5,2010.5,2354.3333,2539.6667,2644.0,2699.0,0.36107734,0.3690615,-0.05554563,-0.147326,0.21913545,0.3286653,38.88761,1596.0,79.15573,15.1286955,"{""type"":""MultiPoint"",""coordinates"":[]}"
