system:index,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,.geo
126_0,0.09727002,0.10943752,0.10208385,0.100563146,0.08679232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.714861833029218,31.281988223129893]}"
127_0,0.1183082,0.15183195,0.13065083,0.13217889,0.10370943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.745948116141605,30.637357175245725]}"
128_0,0.1436074,0.14248812,0.13562575,0.14306359,0.13916628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.642542878375745,31.939285516520147]}"
129_0,0.14058784,0.15873992,0.122723565,0.14717813,0.12938502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.786641798512219,31.760341111923537]}"
130_0,0.12639432,0.12886459,0.13733299,0.13547936,0.13145489,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.8576939632042215,30.612833167989262]}"
131_0,0.2527533,0.21550508,0.19623649,0.17589664,0.22801414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.535917428432609,31.896974866638118]}"
132_0,0.07744061,0.0776417,0.07908295,0.07721733,0.07966204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.016237462287615,30.531176308662797]}"
133_0,0.12681301,0.12415301,0.1255683,0.1358634,0.12004831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.97914161533533,31.159907176018052]}"
134_0,0.16975817,0.19795099,0.17712331,0.20024288,0.18047813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.300379160936471,31.563610064701365]}"
135_0,0.15610716,0.111677416,0.15482728,0.15671326,0.15564023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.324364179022462,31.56441854845707]}"
136_0,0.12508884,0.13251579,0.13137232,0.13662031,0.12786475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.923086741606271,31.362567104115413]}"
137_0,0.093148686,0.084081404,0.09295657,0.094273984,0.09130172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.364154971827105,31.473868367817822]}"
138_0,0.1416968,0.1479539,0.13589089,0.12602311,0.12986821,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.221781147857864,31.300852844096404]}"
139_0,0.22473049,0.19690649,0.17244232,0.1786716,0.18614817,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.036638367800831,31.7810921949867]}"
140_0,0.07907647,0.10956324,0.082721785,0.0871949,0.072200626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.490467249338013,30.726020893788323]}"
141_0,0.07967508,0.082683675,0.08360101,0.085462496,0.07798853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.170752265438024,30.733836236760162]}"
142_0,0.12061404,0.124182835,0.12548076,0.12729429,0.10850639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.502675188638335,31.349092374853623]}"
143_0,0.10313147,0.11404355,0.13678928,0.1155304,0.119947344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-6.280167067043782,30.97018298801201]}"
144_0,0.13793318,0.13806078,0.1263117,0.12502483,0.12620832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.7464871053120765,31.502434793852824]}"
145_0,0.17785332,0.17145902,0.19150776,0.1739567,0.1577364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.871074286655751,31.167183529819418]}"
146_0,0.07956562,0.08121411,0.07793432,0.07493543,0.06996863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-7.4958571410427295,30.72305645335073]}"
147_0,0.085772984,0.0842837,0.0851768,0.09812318,0.082517646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.489469953961779,30.87828533444658]}"
148_0,0.07794814,0.08362267,0.07925829,0.085500926,0.08026028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-5.96674486441448,30.783692735028794]}"
