system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
166_0,3676.0,3535.0,1122.0,1631.0,2224.0,2397.0,2483.0,2591.0,2611.0,2662.0,0.12829864,0.2310231,-0.15034169,-0.16939718,0.080041364,292.97925,1769.0,191.61102,7.0908566,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,5272.6,4490.5,1537.6666,2297.3333,3508.0,3954.0,4061.0,4219.4,4182.0,4314.0,0.123006165,0.29087356,-0.035572212,-0.11535127,0.08764629,94.06976,1455.0,112.97467,12.848769,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,4276.75,3958.25,1649.5,2319.5,2831.8333,2990.5,3034.0,3108.0,3142.0,3161.0,0.099889465,0.15059966,-0.11496074,-0.15295704,0.05192089,268.4293,2220.0,185.17722,30.564568,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,5246.0,4590.5,1294.9333,1952.0615,3211.6667,3568.2,3714.0417,3870.9666,3982.3333,4045.7778,0.14228038,0.34211943,-0.070941165,-0.13693337,0.10712629,155.70576,1430.0,152.1324,13.001041,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,3579.0,3346.0,1257.0,1798.0,2410.0,2585.0,2702.0,2810.0,2822.0,2898.0,0.13111833,0.22164503,-0.084954605,-0.11826277,0.07874618,180.0,3265.0,258.73898,5.547545,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,5513.5,4913.5,1395.5,2131.5,3385.0,3772.5,3908.6667,4068.5,4114.0,4135.25,0.13056327,0.31742856,-0.08856273,-0.14536484,0.09721296,329.55713,1097.0,143.03128,2.150604,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,3680.0,3475.0,955.0,1421.0,2128.0,2315.0,2393.0,2500.0,2497.0,2570.0,0.1138397,0.27462992,-0.16376424,-0.19151692,0.07978378,100.183464,1109.0,149.89389,20.11463,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,3093.0,3007.4583,1128.125,1590.5,2202.0,2354.2334,2424.6,2521.3333,2560.0,2532.0,0.122400485,0.23358631,-0.08037029,-0.09428622,0.0751785,25.830038,2214.0,188.28587,17.000397,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,3494.0,3223.3333,1132.6316,1635.5,2191.5454,2384.3845,2484.1667,2580.0,2612.182,2676.5,0.14469346,0.22993292,-0.10472964,-0.144414,0.0875646,276.92026,2121.0,184.86987,7.651981,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,3453.0,3292.0,1273.0,1702.0,2055.0,2204.0,2257.0,2328.0,2265.0,2384.0,0.103991285,0.14192085,-0.18481195,-0.20776495,0.048611112,111.760086,2615.0,184.80345,19.255594,"{""type"":""MultiPoint"",""coordinates"":[]}"
