system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
76_0,2531.0,2265.5,963.0,1352.0,2000.0,2174.5,2250.5,2325.0,2315.0,2316.5,0.11101713,0.2626125,0.010806681,-0.044572845,0.07300116,0.10948905,270.0,1672.0,86.76729,6.414707,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,3527.5,3233.5,1329.5,1826.0,2412.5,2602.0,2666.0,2760.0,2747.5,2783.5,0.1154814,0.20148683,-0.08125731,-0.12430279,0.06492248,0.09737428,64.03157,1462.0,70.41614,18.403303,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,4758.0,4406.5,1150.0,1770.0,2756.0,3036.0,3113.0,3230.0,3330.5,3310.0,0.12775183,0.3059504,-0.13907199,-0.17648514,0.09438922,0.1415722,107.920555,597.0,64.87771,8.968888,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,2848.0,2404.5,1159.0,1590.0,2283.0,2536.0,2607.5,2691.5,2700.0,2714.5,0.13527542,0.25874126,0.0578901,-0.02667628,0.08368453,0.1255142,130.88045,1536.0,67.36653,1.4168468,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,3904.0,3648.0,1381.0,1959.0,2858.0,3119.5,3178.0,3302.0,3351.5,3333.0,0.12163561,0.26221636,-0.042360168,-0.07614913,0.079475,0.1192029,293.3141,354.0,63.102398,2.342196,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,2554.0,2339.0,928.0,1222.5,1924.5,2155.5,2232.0,2275.0,2239.0,2236.0,0.115167715,0.29365882,-0.0218436,-0.06572084,0.075537406,0.11329251,60.05752,1594.0,87.76194,3.7112293,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,3250.5,2669.5,1155.0,1696.5,2446.5,2680.5,2777.5,2888.5,2873.5,2897.5,0.120065235,0.25754923,0.036803175,-0.06156107,0.08026316,0.12038342,289.0922,1433.0,48.8027,5.6527667,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,4865.5,4240.5,1398.0,2130.0,3215.0,3533.5,3643.0,3770.0,3737.5,3800.0,0.1041376,0.27396676,-0.063048385,-0.13111705,0.07515282,0.11272113,30.004864,1686.0,60.873447,12.643039,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,2678.5,2463.0,998.5,1364.0,2138.0,2395.0,2516.5,2584.5,2561.5,2572.5,0.1339893,0.3050567,0.019603942,-0.022328245,0.09011597,0.13515958,60.11043,1124.0,91.9838,3.7171733,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,3360.5,2721.0,1190.0,1780.5,2535.5,2809.0,2897.5,2961.0,2913.0,2961.5,0.102559224,0.24129115,0.034078807,-0.07133179,0.069285125,0.10391815,11.864932,1560.0,49.578438,10.312318,"{""type"":""MultiPoint"",""coordinates"":[]}"
