system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
47_0,4482.0,4241.0,1511.0,2089.0,3023.0,3341.0,3386.0,3545.0,3572.0,3641.0,0.13224454,0.26196784,-0.08562652,-0.11298733,0.08324488,0.12485786,-0.0,160.0,53.604324,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,4048.5,3839.0,1015.5,1583.0,2537.0,2806.0,2979.0,3109.5,3158.0,3211.5,0.14422072,0.3322084,-0.097327426,-0.123569,0.10904302,0.16355017,310.85553,177.0,43.485207,2.8333848,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,4264.0,3847.0,1202.0,1726.0,2556.0,2785.0,2895.0,3074.0,3124.0,3182.0,0.15032817,0.28824744,-0.10371539,-0.15430428,0.1,0.1499868,90.0,213.0,46.63293,2.1502228,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,5368.5,4846.0,1534.0,2299.0,3472.5,3950.5,4083.5,4190.5,4247.5,4350.5,0.14268881,0.29763997,-0.065816246,-0.11657654,0.1003886,0.15057315,229.15582,399.0,40.304028,5.6542645,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,4652.0,4173.0,1302.0,1854.0,2649.0,3074.0,3222.0,3363.0,3401.0,3549.0,0.19725108,0.2943863,-0.101927646,-0.15534583,0.12429752,0.18643087,270.0,171.0,47.05546,1.0743054,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,5394.0,5090.0,1476.0,2240.0,3571.0,4005.0,4053.0,4200.0,4254.0,4262.0,0.116864,0.31013244,-0.08946918,-0.118159205,0.08728434,0.13091815,338.89993,292.0,40.903522,2.9797466,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,4678.5,4147.0,1219.5,1922.5,3015.5,3360.5,3527.5,3666.0,3753.5,3708.5,0.14526129,0.32258633,-0.049806975,-0.10970114,0.10902645,0.1635276,232.43008,1273.0,42.89343,11.991031,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,4300.0,3863.0,1273.0,1731.0,2450.0,2765.0,2836.0,2955.0,3045.0,3093.0,0.18143563,0.27512562,-0.11841343,-0.17086454,0.10828026,0.16240561,180.0,204.0,48.17617,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,3401.0,2674.0,856.0,1331.0,1690.0,2152.0,2909.0,3205.0,3391.0,3527.0,0.59793305,0.4362558,0.11821929,-0.0014723204,0.3347766,0.5021155,-0.0,173.0,48.5774,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,4131.5,3697.5,1162.5,1692.0,2522.5,2710.5,2771.5,2909.5,3012.0,2966.5,0.12978232,0.28061223,-0.10216857,-0.1567159,0.08844521,0.13265583,255.84811,1060.0,39.84006,24.86614,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,4431.0,4151.5,1215.5,1931.0,3086.0,3368.0,3456.0,3589.0,3630.0,3636.0,0.104368515,0.3055206,-0.06701793,-0.09936732,0.0810006,0.12149185,-0.0,271.0,41.257244,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,4549.0,4313.0,1477.0,2170.0,3213.0,3563.0,3671.0,3783.0,3822.0,3834.0,0.12662703,0.27570093,-0.060356483,-0.08684745,0.08656716,0.12984152,270.0,312.0,40.629154,1.0737002,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,3206.0,2424.0,772.0,1220.0,1524.0,2183.0,2951.0,3241.0,3495.0,3472.0,0.71934307,0.48250264,0.18094273,0.04312789,0.3927077,0.5890029,180.0,214.0,48.17617,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,5062.0,4782.0,1564.0,2352.0,3523.0,3925.0,3993.0,4130.0,4192.0,4253.0,0.1229689,0.2811736,-0.06574549,-0.0940134,0.08671419,0.13006286,30.087421,188.0,45.07018,2.14284,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,5434.0,4793.0,1903.0,2810.0,3614.0,4027.0,4194.0,4327.0,4459.0,4373.0,0.17794718,0.22685376,-0.036100302,-0.09855454,0.104669884,0.1569951,158.86452,178.0,49.570198,2.9804566,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,5051.0,4616.0,1389.0,2087.0,3175.0,3547.0,3609.0,3745.0,3791.0,3813.0,0.12394865,0.28989452,-0.098132506,-0.1425017,0.08842952,0.13263476,30.055765,369.0,42.636448,2.1421552,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,4781.0,4416.0,1453.0,2127.0,3096.0,3488.0,3623.0,3755.0,3824.0,3871.0,0.15821272,0.28516215,-0.07184466,-0.11121441,0.10520231,0.15779206,90.0,197.0,45.07018,1.0743693,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,3195.0,2983.0,648.0,1028.0,1521.0,1928.0,2358.0,2581.0,2694.0,2805.0,0.42127568,0.4476088,-0.05090717,-0.085073866,0.27829182,0.4173882,270.0,62.0,46.544655,1.0746802,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,5047.5,4785.0,1184.5,1918.5,3161.5,3521.5,3601.0,3744.5,3828.0,3865.0,0.119751334,0.33228922,-0.11111111,-0.13740072,0.09535732,0.14302576,196.12395,160.0,42.149933,3.8560452,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,3966.0,3823.0,1039.5,1584.5,2478.5,2867.0,2993.5,3100.5,3151.0,3175.5,0.16439728,0.33079928,-0.096357904,-0.114514545,0.11945999,0.17917407,310.82883,195.0,43.36573,1.4183229,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,3342.5,2733.0,954.0,1339.0,1827.5,2259.5,2695.0,2983.5,3021.0,3172.5,0.43673155,0.38577983,0.050052136,-0.05052251,0.2461586,0.36919984,180.0,117.0,39.790302,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
