system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
71_0,2476.0,2327.0,1213.0,1606.0,1857.0,1971.0,2100.0,2161.0,2143.0,2130.0,0.1707055,0.1432382,-0.04116331,-0.072093524,0.0715,42.505558,2263.0,282.80606,39.09212,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,1736.5,1544.8572,792.17645,1061.6111,1503.8125,1633.6842,1690.6471,1709.7778,1697.95,1748.5,0.10152567,0.23059423,0.047209952,-0.011224519,0.060634557,140.2809,1563.0,87.73587,8.380375,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,2658.0,2349.5,961.0,1342.0,1805.0,1978.0,2026.5,2099.5,2119.0,2124.0,0.13670005,0.2245016,-0.051583305,-0.11283232,0.08002039,158.83235,1399.0,123.17543,22.617416,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,4169.0,3783.0,976.0,1483.0,2551.0,2906.0,3027.0,3143.0,3109.0,3215.0,0.12572098,0.3540941,-0.09779455,-0.14564441,0.098586574,180.0,1629.0,146.48563,9.195146,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,2011.0,1820.0,904.0,1211.0,1751.0,1902.0,1962.0,2023.0,2055.0,2026.0,0.13144241,0.25842008,0.060645163,0.010821446,0.07987388,98.13444,1926.0,161.62964,12.887902,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,2170.5,2072.7,1047.375,1341.1428,1938.0,2106.5,2149.625,2198.5,2188.0,2167.9,0.10483609,0.23996115,0.027061293,0.004015143,0.060591374,229.35783,1162.0,60.582615,1.4236963,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,2714.5,2524.0,996.0,1377.0,2050.0,2251.5,2324.5,2404.0,2408.0,2465.0,0.12363586,0.27239102,-0.02351987,-0.059834067,0.08030507,338.84494,1462.0,114.40708,14.593705,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,1730.0,1535.0,561.0,804.0,1019.0,1068.0,1149.0,1215.0,1239.0,1278.0,0.1747974,0.21292217,-0.10670512,-0.16537555,0.097431354,177.15419,2140.0,398.11557,37.29887,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,3528.0,3148.5,1539.9166,2078.0,2841.0,3021.25,3146.0,3239.0,3301.5,3217.3333,0.13083687,0.2274375,0.02372093,-0.033164944,0.07496948,310.72888,1379.0,96.08347,2.8406389,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,2558.0,2261.0,815.6667,1161.6,1714.5,2065.0,2488.0,2714.0,2731.6667,2856.0,0.36842299,0.4032775,0.094271615,0.032831322,0.22877386,260.7464,2525.0,287.27344,21.933165,"{""type"":""MultiPoint"",""coordinates"":[]}"
