system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,aspect,elevation,precipitation,slope,.geo
81_0,4308.0,4051.0,1157.0,1685.0,2501.0,2737.0,2749.0,2908.0,2981.0,3011.0,0.12888674,0.27775398,-0.15216155,-0.18205515,0.08755928,318.86115,979.0,136.22,4.914058,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,2835.0,2640.8572,1044.375,1429.2858,2195.0,2455.1667,2544.125,2609.0,2609.0,2637.5,0.13023475,0.29213244,-0.006068199,-0.041513592,0.08617818,283.81345,1554.0,135.06786,15.173401,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,3642.0,3301.0,1142.0,1686.0,2334.0,2546.5,2582.6667,2652.0,2652.0,2630.6667,0.09824518,0.22268327,-0.109020665,-0.15729266,0.06377858,221.04659,823.0,198.01683,4.9071946,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,3176.0,2951.0,1132.0,1574.0,2195.0,2403.0,2454.0,2538.0,2541.0,2557.0,0.11977292,0.23499392,-0.07465404,-0.11107224,0.073057435,66.83529,962.0,156.08029,2.3564444,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,3368.0,3007.0,1409.0,1877.0,2727.0,2886.0,2973.0,3072.0,3246.0,3168.0,0.14350495,0.26722625,0.038221654,-0.01844572,0.08689101,249.75264,1436.0,141.4138,40.09599,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,3574.0,3229.0,936.0,1498.0,2116.0,2315.0,2372.0,2443.0,2388.0,2426.0,0.08431494,0.22902727,-0.14972405,-0.19892654,0.060390763,283.36023,1033.0,152.61632,19.304075,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,4151.5,3748.5,1177.0,1801.0,2489.5,2728.5,2782.0,2864.0,2822.0,2757.5,0.093059056,0.22085226,-0.14100906,-0.19065031,0.06260002,130.74841,748.0,132.14912,1.4206308,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,2052.0,1869.5,954.7143,1222.1666,1655.25,1816.5,1876.0,1948.0,1942.0,1970.3334,0.152069,0.2274954,0.019021383,-0.027541311,0.07971367,130.62944,1724.0,148.49846,8.483602,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,3732.5,3638.3333,1206.625,1729.75,2533.3333,2788.3333,2852.0,2938.0,2868.0,2869.3333,0.09276394,0.24756674,-0.118397444,-0.13097493,0.061960027,-0.0,683.0,130.32913,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,3761.5,3354.0,1096.5,1559.0,2190.0,2385.0,2408.5,2552.0,2592.0,2600.5,0.13383494,0.2488557,-0.12815338,-0.18407176,0.08406524,296.4922,1189.0,151.94926,21.760998,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,3109.0,2261.0,705.5,1196.0,1510.0,2226.0,3443.3333,3933.5,4045.0,4093.5,0.81096643,0.54359853,0.28290516,0.13083589,0.45634565,113.14561,1434.0,107.77282,4.708596,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,3491.5,2970.0,1205.0,1840.5,2374.0,2554.5,2592.0,2672.0,2640.5,2612.5,0.08489424,0.17853157,-0.058729168,-0.13878018,0.053145878,217.79706,959.0,125.6586,3.5168629,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,2758.0,2406.0,1007.46155,1363.8572,1969.4286,2195.125,2253.5,2321.5,2354.25,2449.5,0.14541624,0.26637018,-0.010871278,-0.07897697,0.08900324,102.60083,1757.0,140.71762,41.68273,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,4100.0,3664.0,1177.5,1689.5,2496.5,2711.0,2763.5,2891.5,2871.5,2891.0,0.10393282,0.2591537,-0.12126081,-0.17621745,0.06985842,170.11589,770.0,144.0772,18.192247,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,3499.8,3156.0,1209.5,1689.3334,2210.0,2348.5,2393.3333,2464.0,2516.0,2473.6667,0.1140812,0.19657576,-0.112834975,-0.16353603,0.0647482,353.14264,1369.0,148.97795,25.306084,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,4267.5,3912.75,1262.75,1867.5,2757.5,3017.3333,3066.5,3169.25,3197.25,3216.3333,0.10701987,0.26254997,-0.10063291,-0.14337386,0.073848605,-0.0,866.0,141.98224,3.7047918,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,3777.0,3434.0,1103.0,1601.0,2346.0,2693.0,2841.0,2985.0,3053.0,3023.0,0.19954841,0.3119897,-0.05873285,-0.10600293,0.13095018,180.0,1052.0,164.71675,0.92740995,"{""type"":""MultiPoint"",""coordinates"":[]}"
