system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NBR,NDMI,NDVI,SAVI,aspect,elevation,precipitation,slope,.geo
87_0,3860.5,3623.5,923.0,1430.0,2246.0,2480.5,2565.5,2682.5,2748.5,2770.5,0.13503708,0.31554386,-0.13731952,-0.1682554,0.10061067,0.1509009,4.739019,1358.0,94.71827,12.811539,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,2943.0,2436.5,974.0,1457.5,1805.5,1950.0,2095.0,2197.5,2192.0,2175.5,0.1688953,0.20126045,-0.05282489,-0.14625122,0.09668543,0.14501001,204.96384,811.0,126.417145,10.124024,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,3819.0,3138.5,1113.5,1738.5,2553.0,2770.5,3326.0,3529.0,3712.5,3701.0,0.2714122,0.36213538,0.08378339,-0.01414061,0.18506105,0.2775694,270.0,929.0,115.78751,3.2279654,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,5013.5,4580.5,1533.0,2201.5,3404.0,3809.0,3900.5,4019.5,4014.5,4013.5,0.117929995,0.29166666,-0.06585224,-0.11065574,0.08229426,0.123433076,113.29536,706.0,95.33891,7.0007944,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,2745.5,2240.0,1216.0,1641.0,2082.5,2268.5,2359.5,2444.0,2489.0,2475.0,0.17327365,0.20532687,0.052653838,-0.049001817,0.08892049,0.13336614,24.536228,2130.0,204.16518,22.258152,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,4196.0,3598.8333,1046.0,1559.25,2172.75,2608.0,2876.3333,3042.3333,3086.0,3242.6667,0.2757897,0.32866907,-0.07671594,-0.15243065,0.17366295,0.26046965,130.70378,846.0,108.4605,11.231556,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,3807.0,3226.0,1280.5,1730.0,2225.5,2687.0,2891.0,3026.0,2905.0,3177.0,0.25524962,0.25350595,-0.052356876,-0.13438617,0.13244323,0.19864549,194.51248,1884.0,254.95465,36.959938,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,4500.0,4062.5,1165.0,1732.5,2677.0,3004.5,3208.0,3341.5,3401.5,3449.0,0.16884963,0.32508764,-0.08855841,-0.13902424,0.11919059,0.17877118,280.83325,1186.0,104.10323,9.773577,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,4766.5,4516.0,1826.5,2511.5,3371.0,3686.0,3776.5,3895.0,3912.5,3919.0,0.12966022,0.21808842,-0.0716023,-0.09839843,0.074346125,0.11151153,-0.0,411.0,77.9217,1.8543341,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,1508.0,1368.0,801.5,981.0,1333.5,1496.0,1589.0,1676.5,1689.5,1715.0,0.24183139,0.26530612,0.105151266,0.056763098,0.11776381,0.1766165,272.0469,2373.0,290.15695,24.380615,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,4830.0,4143.5,1230.5,1778.5,2513.5,2811.5,2948.0,3097.0,3255.0,3350.0,0.20352428,0.29333466,-0.12009191,-0.19480519,0.12854294,0.1927977,193.10446,964.0,133.6185,18.387424,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,5357.3335,4762.0,1479.875,2198.5,3252.0,3643.5,3800.0,3937.25,3984.75,4073.0,0.14774749,0.2888853,-0.08886158,-0.14692478,0.101254016,0.15187053,189.42838,773.0,106.097374,24.677097,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,4187.0,3761.5,1159.5,1618.0,2335.0,2577.0,2652.0,2804.5,2880.0,2987.0,0.16626498,0.28056914,-0.13272604,-0.18494411,0.10450623,0.15674432,49.288002,504.0,88.402176,1.4216795,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3088.0,2777.5,1245.0,1785.5,2227.0,2457.5,2529.5,2582.5,2551.0,2590.5,0.123165816,0.17652485,-0.042507272,-0.09522965,0.067810796,0.10170556,233.08131,1597.0,184.25504,20.67081,"{""type"":""MultiPoint"",""coordinates"":[]}"
